SITE$,FSVLAFTER,TOTAFTER,MASSaft,RCM,CSIZE
OR,64,129,,,
OR,64,99,6.3765,,
OR,64,111,6.0209,,
OR,64,78,5.2501,,
OR,64,133,7.029,,
CP,65,146,5.1126,0.193932637,2
CP,65,137,4.6052,0.238339269,2
CP,65,142,5.934,,2
CP,65,150,5.8741,0.121210058,2
CP,65,148,6.0296,0.186247844,2
OR,65,114,4.3881,0.135753515,1
OR,65,110,5.9388,0.12872971,1
OR,65,140,6.0305,0.086593151,1
OR,65,140,5.3385,0.103137585,1
OR,65,141,4.4851,0.110120176,1
OR,65,124,5.8393,0.099429726,1
OR,65,139,6.3269,0.087799712,1
OR,65,138,5.9602,0.093973357,1
OR,65,115,,,1
OR,65,116,4.4313,0.227382484,2
OR,65,114,5.6346,0.196375963,2
OR,65,90,5.029,0.190693975,2
OR,65,123,4.5481,0.211341,2
OR,65,139,4.8054,0.229117243,2
OR,65,122,5.1162,0.185098315,2
OR,65,146,5.0799,0.209236402,2
OR,65,148,,,2
OR,65,151,4.9077,0.236893046,2
OR,65,104,4.8227,0.227880648,2
OR,65,90,5.463,0.220043932,2
OR,65,108,3.919,0.314723144,2
OR,65,145,4.1028,0.265842839,2
OR,65,120,4.53,0.220264901,2
OR,65,116,4.588,0.261508282,2
OR,65,153,5.2369,0.195019955,2
OR,65,121,5.5889,0.223782855,2
OR,65,140,5.082,0.195533255,2
OR,65,127,4.4107,0.206384474,2
OR,65,115,4.506,0.270883267,2
OR,65,118,4.3048,0.242566437,2
OR,65,151,4.9199,0.188215208,2
OR,65,140,4.5387,0.260184634,2
OR,65,106,4.3899,0.237681952,2
OR,65,114,4.224,0.310416667,2
OR,65,148,3.7799,0.307256806,2
OR,65,137,4.266,0.259563994,2
OR,65,143,4.253,0.218434047,2
OR,65,114,5.1238,0.227175143,2
OR,65,139,5.4998,0.182424815,2
OR,65,117,5.1999,0.191715225,2
OR,65,142,5.1138,0.204114357,2
OR,65,143,4.8462,0.227023235,2
OR,65,89,4.3011,0.267652461,2
OR,65,111,4.8215,0.236917972,2
